,RGDP,PGDP,Cons,GPDInv,Emp. Hours,Real Comp/Hour,FedFunds
1982Q3,-0.01511746,0.05500274,0.030719,-0.04606448,-0.02844708,-0.00588979,0.110066667
1982Q4,0.00355774,0.04237441,0.07196861,-0.36900604,-0.03632266,0.00834863,0.092866667
1983Q1,0.04903054,0.03411335,0.03901878,0.13850201,0.02335086,0.0138466,0.086533333
1983Q2,0.08921039,0.02895739,0.07876611,0.37029397,0.04442132,-0.01226672,0.088033333
1983Q3,0.07817131,0.04054534,0.07040975,0.25767101,0.07792665,-0.01661998,0.0946
1983Q4,0.08103016,0.02906628,0.06260564,0.39457035,0.07413569,0.00585565,0.0943
1984Q1,0.07749269,0.04925621,0.03431477,0.40242063,0.07602156,-0.0051948,0.096866667
1984Q2,0.06823878,0.03580682,0.05691862,0.13201704,0.05276175,0.00308247,0.105566667
1984Q3,0.03868801,0.03248977,0.03076536,0.0935631,0.01827513,0.02396216,0.1139
1984Q4,0.03273287,0.02363972,0.05240204,-0.06389811,0.02632772,-0.00420274,0.092666667
1985Q1,0.03682023,0.04582378,0.06666028,-0.13742059,0.03259279,0.01442845,0.084766667
1985Q2,0.03400142,0.02087634,0.03619509,0.06946379,0.0258162,-0.00336199,0.079233333
1985Q3,0.06206702,0.01916542,0.07516342,-0.0439443,0.01084939,0.02993987,0.079
1985Q4,0.03058026,0.02414133,0.00904325,0.15400381,0.01886306,0.0311373,0.081033333
1986Q1,0.03807343,0.02048827,0.03324444,-0.00883117,-0.0057131,0.03320126,0.078266667
1986Q2,0.01584685,0.01925728,0.04216649,-0.08997107,-0.00941267,0.05508095,0.0692
1986Q3,0.03812778,0.02549567,0.06877836,-0.1276255,0.02015501,0.01587453,0.062066667
1986Q4,0.02010852,0.02817012,0.02536454,0.00579875,0.03025297,0.03995238,0.062666667
1987Q1,0.02624381,0.03067695,0.00175634,0.12117502,0.0476273,-0.03991046,0.0622
1987Q2,0.04374713,0.02145544,0.05431498,0.00553633,0.02275843,-0.00339636,0.0665
1987Q3,0.03614437,0.02984558,0.04466502,0.00390339,0.02782749,0.0032287,0.068433333
1987Q4,0.06924374,0.02702896,0.00977681,0.30031408,0.04105772,0.01597928,0.069166667
