,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2005M04,4.507255206,5.069349663,5.027202899,4.035041478,4.770369469,4.191656725,4.409935339,4.017854565,4.5638643,4.346953291,4.462761816,4.263677995,7.164169072,4.98633613,5.306995007,4.779215329,5.175380228,4.863986852,1.030064576,0.565683533,-2.297551789,2.873563218,21.81,
2005M05,4.485172727,5.094246687,5.058225241,4.036427499,4.780664589,4.199687844,4.418912741,4.013532105,4.5640346,4.352847783,4.474843748,4.270174383,7.251404217,5.010349474,5.310425467,4.793261441,5.160764126,4.857720723,0.970555254,0.873221776,-6.225905937,-9.636871508,21.53,
2005M06,4.523015704,5.068359153,5.087420962,4.037121008,4.790391647,4.195822687,4.419389883,4.010314217,4.5677604,4.339699376,4.482307724,4.271485924,7.201348396,5.049547396,5.310917402,4.803981195,5.190119106,4.880206402,0.922356532,0.498473297,11.71634121,10.97372488,20.79,
2005M07,4.512114894,5.127092225,5.10494823,4.03740302,4.812953844,4.180772145,4.426858233,4.012030131,4.5798706,4.353319654,4.485525059,4.276883531,7.32531222,5.012522334,5.320648266,4.640566975,5.215076454,4.836809987,0.82954154,0.244059116,5.832566697,6.267409471,20.86,
2005M08,4.518822073,5.104797888,5.118021456,4.038444831,4.826309295,4.198027696,4.436449291,4.016364322,4.574766,4.361314891,4.494687647,4.285875569,7.213396345,5.038093675,5.320884894,4.848495934,5.208164187,4.867032698,0.733052764,-0.672157296,11.23087622,24.9017038,21.76,
2005M09,4.530576728,5.158688306,5.138167432,4.041850852,4.814149738,4.20208533,4.451189607,4.020321443,4.6262229,4.375467476,4.511129331,4.28891788,7.078725313,5.135004275,5.320302072,4.869298107,5.222649193,4.899291944,0.741785511,0.248091378,-1.672397624,23.29485834,21.90,
2005M10,4.523933471,5.148032185,5.134114401,4.046295311,4.813751688,4.212393832,4.457559187,4.020234317,4.6093486,4.384770893,4.516305408,4.282784688,6.932463356,5.106859618,5.282722395,4.819763318,5.224528459,4.840531664,0.827945328,0.905901243,-6.94643141,14.21276596,21.54,
2005M11,4.538970863,5.194788945,5.224030868,4.050262302,4.842993319,4.209854408,4.469294303,4.016109566,4.6174124,4.395027985,4.529888034,4.299637589,6.99532234,5.146149202,5.287108127,4.839825481,5.259962898,4.920891085,0.580405423,0.798590284,-5.637171165,-23.24888227,22.17,
2005M12,4.545313605,5.216236311,5.199733591,4.051022916,4.805871811,4.210723851,4.483643641,4.013969748,4.6484982,4.401735352,4.553028608,4.312835058,6.996083977,5.091110445,5.311169967,4.952404337,5.2646386,4.917883192,0.628107287,0.348465545,2.932657495,26.69902913,22.08,
2006M01,4.531088298,5.28223248,5.212359978,4.052491848,4.75286125,4.1835655,4.478897882,4.014805323,4.6440411,4.40414806,4.539646909,4.265886573,7.060317873,5.211738573,5.31201098,4.665119428,5.258533167,4.901374411,0.668865214,0.00480089,10.78086528,-33.40996169,23.13,
