DATE,SP500
2011-11-11,1253.9360000000000000
2011-11-18,1235.6560000000000000
2011-11-25,1175.3700000000000000
2011-12-02,1224.7120000000000000
2011-12-09,1253.2200000000000000
2011-12-16,1221.8860000000000000
2011-12-23,1241.9400000000000000
2011-12-30,1258.9225000000000000
2012-01-06,1278.3075000000000000
2012-01-13,1289.9700000000000000
2012-01-20,1307.8975000000000000
2012-01-27,1318.2920000000000000
2012-02-03,1323.9900000000000000
2012-02-10,1347.1860000000000000
2012-02-17,1352.9540000000000000
2012-02-24,1362.2675000000000000
2012-03-02,1369.8340000000000000
2012-03-09,1359.4200000000000000
2012-03-16,1393.6180000000000000
2012-03-23,1401.6100000000000000
2012-03-30,1409.2640000000000000
2012-04-06,1407.3650000000000000
2012-04-13,1373.4660000000000000
2012-04-20,1380.1880000000000000
2012-04-27,1386.5880000000000000
2012-05-04,1393.3420000000000000
2012-05-11,1359.8520000000000000
2012-05-18,1318.7780000000000000
2012-05-25,1317.9960000000000000
2012-06-01,1308.5275000000000000
2012-06-08,1303.8920000000000000
2012-06-15,1323.9860000000000000
2012-06-22,1343.7960000000000000
2012-06-29,1331.3520000000000000
2012-07-06,1365.4475000000000000
2012-07-13,1345.3840000000000000
2012-07-20,1365.8520000000000000
2012-07-27,1354.5420000000000000
2012-08-03,1379.1500000000000000
2012-08-10,1401.2940000000000000
2012-08-17,1409.4480000000000000
2012-08-24,1411.6000000000000000
2012-08-31,1407.2580000000000000
2012-09-07,1419.6050000000000000
2012-09-14,1444.9920000000000000
2012-09-21,1460.3940000000000000
2012-09-28,1443.9240000000000000
2012-10-05,1452.7120000000000000
2012-10-12,1438.2700000000000000
2012-10-19,1449.2980000000000000
2012-10-26,1416.1180000000000000
2012-11-02,1417.9833333333333333
2012-11-09,1399.5080000000000000
2012-11-16,1364.6520000000000000
2012-11-23,1393.7200000000000000
2012-11-30,1409.4580000000000000
2012-12-07,1411.5600000000000000
2012-12-14,1421.5800000000000000
2012-12-21,1437.3600000000000000
2012-12-28,1416.7550000000000000
2013-01-04,1453.6125000000000000
2013-01-11,1464.8460000000000000
2013-01-18,1476.5140000000000000
2013-01-25,1496.2875000000000000
2013-02-01,1504.2520000000000000
2013-02-08,1509.2880000000000000
2013-02-15,1519.5880000000000000
2013-02-22,1515.2275000000000000
2013-03-01,1506.7320000000000000
