Date,NER,ND,match,match2
07.08.2003,-0.0000391,0.000102865,1131,222
08.08.2003,0.0000573,-0.0000133,1132,222
11.08.2003,-0.000140788,-0.000171061,1135,223
12.08.2003,0.000145204,0.0000405,1136,223
13.08.2003,0.0000591,0.000164702,1137,223
14.08.2003,0.000295264,0.000104121,1138,223
15.08.2003,0.000224631,-0.0000358,1139,224
19.08.2003,0.0000716,0.0000522,1143,224
20.08.2003,-0.0000205,-0.0000856,1144,225
21.08.2003,-0.000126136,0.0000469,1145,225
22.08.2003,0.000172915,0.0000113,1146,225
25.08.2003,-0.0000453,-0.000027,1149,226
26.08.2003,-0.000253246,-0.000129573,1150,226
27.08.2003,0.0000398,0.000243699,1151,226
28.08.2003,-0.000163813,0.000129372,1152,226
29.08.2003,0.000291372,0.0000674,1153,226
31.08.2003,0.0000539,0.000049,1155,226
01.09.2003,0.000148447,0.0000434,1156,227
02.09.2003,0.000700207,0.000108599,1157,227
03.09.2003,0.000194913,0.000225996,1158,227
04.09.2003,-0.0000805,0.0000442,1159,227
05.09.2003,0.0000698,-0.00000591,1160,228
08.09.2003,-0.000120767,-0.0000109,1163,228
09.09.2003,-0.000326168,0.0000819,1164,228
10.09.2003,0.000103438,0.00000245,1165,229
11.09.2003,-0.00000635,-0.0000122,1166,229
12.09.2003,-0.000343505,-0.000173508,1167,229
15.09.2003,0.0000417,0.00028913,1170,230
16.09.2003,0.000174299,0.0000847,1171,230
17.09.2003,-0.0000606,0.0000469,1172,230
18.09.2003,-0.00009,0.000137495,1173,230
19.09.2003,-0.00035137,0.0000877,1174,230
22.09.2003,0.0000773,-0.0000854,1177,231
23.09.2003,0.000145712,0.000133434,1178,231
24.09.2003,-0.000235106,0.0000579,1179,231
25.09.2003,-0.0000861,0.0000775,1180,232
26.09.2003,0.0000745,0.0000398,1181,232
29.09.2003,-0.000140346,0.000123803,1184,232
30.09.2003,-0.000280973,-0.000237485,1185,232
01.10.2003,-0.000375511,0.0000611,1186,233
02.10.2003,0.0000341,-0.0000788,1187,233
03.10.2003,0.000124487,0.000254245,1188,233
06.10.2003,-0.000310414,-0.000013,1191,234
07.10.2003,-0.0000579,0.00000291,1192,234
08.10.2003,0.00022161,0.000242149,1193,234
09.10.2003,0.0000766,0.000295415,1194,234
10.10.2003,0.0000598,0.0000769,1195,235
13.10.2003,0.00000204,-0.000167398,1198,235
14.10.2003,-0.000607106,-0.000105649,1199,235
16.10.2003,-0.000101377,0.0000467,1201,236
17.10.2003,0.0000813,0.000255014,1202,236
20.10.2003,0.00010245,0.0000682,1205,237
21.10.2003,-0.0000825,-0.000048,1206,237
22.10.2003,-0.000409901,-0.0000612,1207,237
23.10.2003,-0.000306983,-0.000041,1208,237
28.10.2003,-0.00027826,-0.00000838,1213,238
29.10.2003,-0.000107794,-0.0000494,1214,238
30.10.2003,-0.000181225,-0.0000796,1215,238
31.10.2003,-0.00041331,0.000115543,1216,238
03.11.2003,-0.000123147,-0.0000255,1219,239
04.11.2003,0.0000104,0.0000279,1220,239
05.11.2003,-0.0000777,-0.0000883,1221,240
06.11.2003,-0.000315356,0.0000957,1222,240
10.11.2003,0.00014785,-0.000272044,1226,241
