,exog_cb,exof_cf,exog_ir,exog_sf,exog_oil,money,credit/money,credit
4/1/2009,0.005,1.13,4,0.001,95,9.6796774902,1.1687324381,9.8355972655
5/1/2009,0.005,1.13,4,0.001,95,9.6880264367,1.1483408238,9.8263445755
6/1/2009,0.005,1.13,4,0.001,95,9.7059937801,1.1178346225,9.8173872212
7/1/2009,0.005,1.13,4,0.001,95,9.7284828178,1.0958163728,9.8199824492
8/1/2009,0.005,1.13,4,0.001,95,9.7435867254,1.0828552492,9.8231880272
9/1/2009,0.005,1.13,4,0.001,95,9.7484804417,1.0750747953,9.8208706779
10/1/2009,0.005,1.13,4,0.001,95,9.7746533931,1.0376217244,9.811584684
11/1/2009,0.005,1.13,4,0.001,95,9.7983127711,1.0133725257,9.8115966738
12/1/2009,0.005,1.13,4,0.001,95,9.8159994167,0.9920758549,9.8080437087
1/1/2010,0.005,1.13,4,0.001,95,9.8379412869,0.9826079266,9.8203961946
2/1/2010,0.005,1.13,4,0.001,95,9.8539337883,0.9661783668,9.8195269711
3/1/2010,0.005,1.13,4,0.001,95,9.8693163083,0.9584998494,9.8269304347
4/1/2010,0.005,1.13,4,0.001,95,9.8948920411,0.9443724316,9.8376573755
5/1/2010,0.005,1.13,4,0.001,95,9.912372637,0.9389458524,9.8493751703
6/1/2010,0.005,1.13,4,0.001,95,9.9247296375,0.9425641841,9.8655783754
7/1/2010,0.005,1.13,4,0.001,95,9.9463688008,0.9287413022,9.8724437528
8/1/2010,0.005,1.13,4,0.001,95,9.9610313677,0.921509534,9.8792892119
9/1/2010,0.005,1.13,4,0.001,95,9.977251172,0.9247875458,9.8990599239
10/1/2010,0.005,1.13,4,0.001,95,10.0017214075,0.9175707622,9.9156958304
11/1/2010,0.005,1.13,4,0.001,95,10.0220692216,0.9098672539,9.9276126566
12/1/2010,0.005,1.13,4,0.001,95,10.033702733,0.9016277749,9.9301492226
1/1/2011,0.005,1.13,4,0.001,95,10.0416534162,0.9047579052,9.941565537
2/1/2011,0.005,1.13,4,0.001,95,10.0585036801,0.903504802,9.957029826
3/1/2011,0.005,1.13,4,0.001,95,10.0689233557,0.9105812118,9.9752511667
4/1/2011,0.005,1.13,4,0.001,95,10.0780708534,0.9145662987,9.9887655368
5/1/2011,0.005,1.13,4,0.001,95,10.089987217,0.9243944804,10.0113708453
6/1/2011,0.005,1.13,4,0.001,95,10.1007453496,0.9306693332,10.028894111
7/1/2011,0.005,1.13,4,0.001,95,10.1153197546,0.9374149001,10.0506904561
8/1/2011,0.005,1.13,4,0.001,95,10.1344999606,0.9407345697,10.0734057088
9/1/2011,0.005,1.13,4,0.001,95,10.16563368,0.9612408899,10.1261034445
10/1/2011,0.005,1.13,4,0.001,95,10.2005751109,0.9310009064,10.1290800827
11/1/2011,0.005,1.13,4,0.001,95,10.1927839971,0.9598921207,10.151849622
12/1/2011,0.005,1.13,4,0.001,95,10.2112461093,0.9662618403,10.1769256839
1/1/2012,0.005,1.13,4,0.001,95,10.2179448333,0.9629049201,10.1801442282
2/1/2012,0.005,1.13,4,0.001,95,10.2226681578,0.9661987133,10.1882823992
3/1/2012,0.005,1.13,4,0.001,95,10.2412369953,0.9763608407,10.2173139483
4/1/2012,0.005,1.13,4,0.001,95,10.2530586597,0.9891849997,10.2421847522
5/1/2012,0.005,1.13,4,0.001,95,10.2718740405,0.9952021763,10.2670646702
6/1/2012,0.005,1.13,4,0.001,95,10.282206621,1.0034956295,10.285696155
7/1/2012,0.005,1.13,4,0.001,95,10.2858714457,1.0136202102,10.2993997345
8/1/2012,0.005,1.13,4,0.001,95,10.2947037142,1.0239460441,10.3183675481
9/1/2012,0.005,1.13,4,0.001,95,10.3041702993,1.0240827302,10.3279676138
10/1/2012,0.005,1.13,4,0.001,95,10.3208080263,1.0249321826,10.3454344734
11/1/2012,0.005,1.13,4,0.001,95,10.3210266583,1.0250456124,10.3457637697
12/1/2012,0.005,1.13,4,0.001,95,10.33282756,1.0189791539,10.3516288566
1/1/2013,0.005,1.13,4,0.001,95,10.3409937656,1.024170137,10.3648764278
