Date,NER,ND,match
27.01.2004,-0.0000716,-0.000109855,1304
28.01.2004,-0.0000203,-0.00000596,1305
29.01.2004,-0.000172462,-0.000265782,1306
30.01.2004,0.000377388,0.000417349,1307
02.02.2004,-0.000107794,0.000175888,1310
03.02.2004,-0.0000479,0.0000583,1311
04.02.2004,0.0000577,0.000137588,1312
05.02.2004,0.000303665,0.0000971,1313
06.02.2004,0.000203616,0.000266651,1314
09.02.2004,-0.000376049,0.000125832,1317
10.02.2004,-0.000000674,0.00024626,1318
11.02.2004,-0.000231139,-0.0000929,1319
12.02.2004,-0.000243339,-0.00000416,1320
13.02.2004,0.0000889,-0.000170171,1321
16.02.2004,0.000106611,0.000185984,1324
17.02.2004,-0.0000726,0.0000652,1325
18.02.2004,0.00009,-0.0000453,1326
19.02.2004,-0.000166428,-0.0000717,1327
20.02.2004,-0.000183238,0.0000751,1328
24.02.2004,-0.0000274,-0.000107466,1332
25.02.2004,-0.0000619,0.00000974,1333
26.02.2004,0.000105333,0.0000308,1334
27.02.2004,-0.00000244,0.000122689,1335
02.03.2004,0.00000329,0.000111761,1339
03.03.2004,0.000285236,0.000142717,1340
04.03.2004,-0.000263693,-0.0000656,1341
05.03.2004,0.000146787,-0.0000909,1342
10.03.2004,0.000175578,-0.0000745,1347
11.03.2004,-0.00000525,0.0000944,1348
12.03.2004,-0.000133238,0.0000396,1349
15.03.2004,-0.000324244,-0.000082,1352
16.03.2004,0.0000414,0.000129,1353
17.03.2004,-0.0000313,-0.0000338,1354
18.03.2004,0.000200937,0.000249475,1355
19.03.2004,0.000187197,0.000195828,1356
22.03.2004,0.000187173,0.000294751,1359
23.03.2004,-0.000110997,0.000084,1360
24.03.2004,-0.00000705,0.00014333,1361
25.03.2004,-0.0000733,-0.00012564,1362
26.03.2004,0.0000558,0.000165558,1363
29.03.2004,0.000129856,0.000095,1366
30.03.2004,0.000123948,-0.000177106,1367
31.03.2004,0.0000593,0.0000158,1368
01.04.2004,-0.000107103,0.0000819,1369
02.04.2004,0.0000322,0.000157844,1370
05.04.2004,-0.0000769,0.0000359,1373
06.04.2004,0.0000226,-0.0000491,1374
07.04.2004,-0.0000727,0.0000341,1375
08.04.2004,0.00000316,-0.0000343,1376
09.04.2004,0.0000694,0.000151566,1377
12.04.2004,0.0000518,0.0000942,1380
13.04.2004,0.000364346,0.0000551,1381
14.04.2004,-0.0000904,-0.0000743,1382
15.04.2004,-0.0000736,0.000352638,1383
16.04.2004,0.00000577,0.000089,1384
19.04.2004,-0.000212254,-0.000338213,1387
20.04.2004,0.000191129,0.000103601,1388
21.04.2004,-0.000114899,-0.00000231,1389
22.04.2004,-0.0000797,-0.000023,1390
23.04.2004,-0.0000448,0.0000382,1391
26.04.2004,-0.000340798,-0.000157597,1394
27.04.2004,-0.0000624,0.0000255,1395
12.05.2004,-0.000277885,-0.0000051,1410
13.05.2004,0.0000629,-0.0000443,1411
14.05.2004,-0.000175445,-0.0000242,1412
17.05.2004,-0.000416629,0.0000503,1415
18.05.2004,0.00025392,0.000126909,1416
19.05.2004,-0.000162487,-0.000139073,1417
20.05.2004,-0.000173876,-0.00010322,1418
21.05.2004,0.0000351,0.000158351,1419
24.05.2004,-0.00000876,0.000146633,1422
25.05.2004,-0.000150819,0.000165303,1423
26.05.2004,-0.000172775,0.0000508,1424
27.05.2004,0.0000646,0.0000845,1425
28.05.2004,-0.0000722,0.0000622,1426
31.05.2004,-0.000183282,-0.00005,1429
01.06.2004,-0.000327535,0.00013051,1430
02.06.2004,-0.0000445,-0.000313428,1431
03.06.2004,-0.00000464,0.000152813,1432
04.06.2004,-0.000100643,-0.0000208,1433
07.06.2004,-0.000160366,-0.000368654,1436
08.06.2004,-0.000256005,-0.000351361,1437
09.06.2004,-0.0000653,0.000072,1438
10.06.2004,-0.0000257,-0.000391263,1439
11.06.2004,0.0000399,-0.0000261,1440
15.06.2004,-0.000138662,-0.0000755,1444
16.06.2004,-0.0000824,-0.000254478,1445
17.06.2004,-0.000251867,-0.000242304,1446
18.06.2004,0.00000617,0.000223288,1447
21.06.2004,-0.000162296,-0.000171445,1450
22.06.2004,0.0000756,-0.000181086,1451
23.06.2004,-0.000294619,-0.000456618,1452
24.06.2004,-0.00025518,-0.000436619,1453
25.06.2004,-0.000220924,-0.000287594,1454
29.06.2004,-0.000188665,-0.0000532,1458
30.06.2004,0.0000389,0.0000122,1459
01.07.2004,-0.000230033,-0.000106574,1460
02.07.2004,-0.0000827,-0.0000726,1461
05.07.2004,-0.000306688,-0.0000542,1464
06.07.2004,-0.000333484,0.0000594,1465
07.07.2004,-0.000307906,-0.000987944,1466
08.07.2004,-0.0000683,-0.000302956,1467
09.07.2004,0.000145685,-0.000202238,1468
12.07.2004,-0.000532207,-0.000535952,1471
13.07.2004,-0.000189288,-0.000458055,1472
